,Date,HomeTeam,AwayTeam,Total_Points_HomeTeam,Total_Points_AwayTeam,FirstHalf_Points_HomeTeam,FirstHalf_Points_AwayTeam,SecondHalf_Points_HomeTeam,SecondHalf_Points_AwayTeam
57,15.08. 00:00,UP Yoddha,Haryana Steelers,33,36,12,16,21,20
58,13.08. 01:00,UP Yoddha,Bengaluru Bulls,35,33,15,15,20,18
59,13.08. 00:00,Bengal Warriors,Telugu Titans,29,29,11,13,18,16
60,12.08. 01:00,Gujarat FortuneGiants,Telugu Titans,24,30,13,17,11,13
61,12.08. 00:00,Bengaluru Bulls,Haryana Steelers,30,33,17,16,13,17
62,11.08. 01:00,Puneri Paltan,Dabang Delhi,30,32,11,19,19,13
63,11.08. 00:00,Gujarat FortuneGiants,Tamil Thalaivas,28,34,10,15,18,19
64,10.08. 01:00,Patna Pirates,UP Yoddha,41,20,24,9,17,11
65,10.08. 00:00,Bengal Warriors,U Mumba,32,30,11,16,21,14
66,09.08. 00:00,Telugu Titans,Bengaluru Bulls,26,47,14,21,12,26
67,08.08. 01:00,Patna Pirates,Haryana Steelers,26,35,9,17,17,18
68,08.08. 00:00,UP Yoddha,Tamil Thalaivas,28,28,16,11,12,17
69,06.08. 01:00,Gujarat FortuneGiants,Puneri Paltan,31,33,17,14,14,19
70,06.08. 00:00,Dabang Delhi,Jaipur Pink Panthers,35,24,16,10,19,14
71,05.08. 01:00,Patna Pirates,Puneri Paltan,20,41,10,20,10,21
72,05.08. 00:00,Haryana Steelers,Tamil Thalaivas,28,35,19,10,9,25
73,04.08. 01:00,Bengal Warriors,Bengaluru Bulls,42,43,21,18,21,25
74,04.08. 00:00,Patna Pirates,Jaipur Pink Panthers,21,34,9,15,12,19
75,03.08. 01:00,U Mumba,Gujarat FortuneGiants,32,20,9,7,23,13
76,03.08. 00:00,Telugu Titans,UP Yoddha,20,20,11,11,9,9
77,02.08. 00:00,Gujarat FortuneGiants,Dabang Delhi,31,26,11,14,20,12
78,01.08. 01:00,U Mumba,UP Yoddha,23,27,12,14,11,13
79,01.08. 00:00,Haryana Steelers,Jaipur Pink Panthers,21,37,8,13,13,24
80,30.07. 01:00,Bengal Warriors,Puneri Paltan,43,23,18,9,25,14
81,30.07. 00:00,Tamil Thalaivas,Patna Pirates,23,24,11,11,12,13
82,29.07. 01:00,U Mumba,Bengaluru Bulls,26,30,11,13,15,17
83,29.07. 00:00,Dabang Delhi,Haryana Steelers,41,21,15,10,26,11
84,28.07. 01:00,Jaipur Pink Panthers,Bengal Warriors,27,25,10,14,17,11
85,28.07. 00:00,U Mumba,Puneri Paltan,33,23,11,9,22,14
86,27.07. 01:00,Telugu Titans,Patna Pirates,22,34,9,23,13,11
87,27.07. 00:00,UP Yoddha,Gujarat FortuneGiants,19,44,9,19,10,25
88,26.07. 00:00,Dabang Delhi,Tamil Thalaivas,30,29,11,18,19,11
89,25.07. 01:00,Telugu Titans,Dabang Delhi,33,34,12,13,21,21
90,25.07. 00:00,UP Yoddha,Bengal Warriors,17,48,9,17,8,31
91,23.07. 01:00,Puneri Paltan,Haryana Steelers,24,34,10,22,14,12
92,23.07. 00:00,U Mumba,Jaipur Pink Panthers,23,42,9,22,14,20
93,22.07. 01:00,Telugu Titans,Tamil Thalaivas,26,39,10,20,16,19
94,22.07. 00:00,Bengaluru Bulls,Gujarat FortuneGiants,24,42,10,21,14,21
95,21.07. 01:00,Bengaluru Bulls,Patna Pirates,34,32,13,17,21,15
96,21.07. 00:00,Telugu Titans,U Mumba,25,31,10,17,15,14
